comments,authors,likes,datetimes,sentimen,kategori
Noo,alpin.04,0 likes,2023-10-11T08:33:37.000Z,negatif,engagement
Gws cadel,dzk4.__,0 likes,2023-10-11T08:33:58.000Z,positif,engagement
"Sen, ini postingan ke 666 nya sena kah?",adiakbarv,0 likes,2023-10-11T08:55:11.000Z,netral,pertanyaan
sebelum kamu hiatus bolehkah aku pinjem seratus,ahan___543,0 likes,2023-10-11T09:02:17.000Z,netral,engagement
Semangat cici,msv_jati1,0 likes,2023-10-11T09:18:58.000Z,positif,engagement
Semangatt senaa,rlfnlwn_,0 likes,2023-10-11T09:26:26.000Z,positif,engagement
131rb orang mensupport dan menunggumu kembali 👍,f_zyy.tempest,0 likes,2023-10-11T09:28:51.000Z,positif,engagement
Semoga lekas sembuh dan membaik Sena😊😁😁,sii_iian19,0 likes,2023-10-11T09:39:22.000Z,positif,engagement
Semangat sen hudup lo masi panjang,mardiestt_12,0 likes,2023-10-11T09:44:23.000Z,positif,engagement
Gws beb🤍,kashirikarin,0 likes,2023-10-11T09:48:38.000Z,positif,engagement
Noooooooo😭😭😭,lmmhhh_cure,0 likes,2023-10-11T09:51:56.000Z,negatif,engagement
Semangat terus sena,wota_independent,0 likes,2023-10-11T10:09:11.000Z,positif,engagement
Jadi kamu kira kita tidak peduli?(merasa amngry)🙂,javanesefolks66,0 likes,2023-10-11T10:29:00.000Z,negatif,pertanyaan
Semangat ya sen cepet sembuh❤️❤️❤️,gdeigaa,0 likes,2023-10-11T11:24:30.000Z,positif,engagement
Semangat sena💪,tfk767,0 likes,2023-10-11T11:33:47.000Z,positif,engagement
Tetap semangat sena🥰,yashagi88,0 likes,2023-10-11T13:17:32.000Z,positif,engagement
semangat kucing gunung 🙌,tristan_alifian,0 likes,2023-10-11T13:25:03.000Z,positif,engagement
We love you senaaa kita bakal nunggu kamu kok SEMANGATT 🥹🫶,xyzzyyuu,0 likes,2023-10-11T14:00:07.000Z,positif,engagement
Ayo sen...ke warteg🔥,b_owensalvio,0 likes,2023-10-11T14:37:41.000Z,netral,engagement
😢🔥🔥,dhlay12,0 likes,2023-10-11T14:38:18.000Z,netral,engagement
Semua aja yang lagi enak di liat hiatus😢,melvin_yogya,0 likes,2023-10-11T15:13:06.000Z,negatif,engagement
Comeback stonger kucingku,fsallabdillahhhhh,0 likes,2023-10-11T22:49:00.000Z,positif,engagement
Cemangan cena ;3,okketaa._,0 likes,2023-10-12T00:07:04.000Z,positif,engagement
"Semangat sensasi cepet sembuhh ya , aku menunggu muuu😁😁😁😁😁",benazirsauqi,0 likes,2023-10-12T00:19:11.000Z,positif,engagement
Punya ku sen,zenreplay,0 likes,2023-10-13T03:48:20.000Z,netral,engagement
Senaa aku ultahhh senaa,hihang_hoheng145,0 likes,2023-10-13T06:16:11.000Z,netral,engagement
Semangat sennaaaa....,srm122707,0 likes,2023-10-13T11:17:58.000Z,positif,engagement
Mangat senaaaa,furuu15,0 likes,2023-10-14T03:41:36.000Z,positif,engagement
Semangat sen semoga selalu diberikan kesehatan oleh Tuhan ❤️❤️❤️,bott.t202,0 likes,2023-10-14T10:20:23.000Z,positif,engagement
Udah bang... Iya bang gak pamer pamer lagi... Udah bang,jubah_ungu_animation,2 likes,2023-10-29T12:35:20.000Z,netral,engagement
Ketawa nya candu banget 😂😂😂,malika_the_black_soya,1 like,2023-10-29T11:35:43.000Z,positif,engagement
sudahi pls makin jadi aneh nih agensi,athar.ty,6 likes,2023-10-29T10:10:57.000Z,negatif,feedback
"njir lah bikin kaget, tapi gak apa-apa😋😋",fesyara_,0 likes,2023-10-29T16:50:17.000Z,netral,engagement
INI KUNTI JOIN AGENSI KAH,raychiia.art,1 like,2023-10-29T11:18:35.000Z,netral,pertanyaan
APA INI CAK??!!!! 😂😂😂😂😂,dinarfirjatullah,0 likes,2023-10-30T15:56:26.000Z,netral,pertanyaan
KETAWANYA😭,rfzawrr_,0 likes,2023-10-29T11:53:00.000Z,positif,engagement
Kaget sumpah 😭,secf4you,0 likes,2023-10-29T15:56:05.000Z,netral,engagement
🤨,upi349,0 likes,2023-10-29T10:14:57.000Z,netral,engagement
Wadehek,fjr.andika5,0 likes,2023-10-29T11:58:28.000Z,negatif,engagement
ketawanya😭😭😭,lvchu_nelsonn,0 likes,2023-10-29T11:13:20.000Z,positif,engagement
Lah Bukanya sdh lama tuh Si Mika??? kok debut lagi?,andhika134_4,4 likes,2023-11-01T16:49:50.000Z,positif,pertanyaan
Sasuga Anak Chief V,munologic,2 likes,2023-11-02T01:39:30.000Z,netral,engagement
Gilaaa yume wangy gulaa semua isiny💕💕,tamaki_al,0 likes,2023-11-01T12:10:59.000Z,positif,engagement
sudah ku dukaaaaa momii kuhhhh reinkarnasi ke yumeeeee😍❤️❤️❤️❤️,akanewh.cikiyah,0 likes,2023-11-01T12:19:18.000Z,positif,engagement
sudah kuduga,estalvr,0 likes,2023-11-01T12:20:30.000Z,positif,engagement
Ohhh ternyata,igasaki_korel,0 likes,2023-11-03T14:17:37.000Z,netral,engagement
KAN BENERRR WKWOWKWOK,shiro_meooo,0 likes,2023-11-02T05:05:05.000Z,positif,engagement
AWAWAWAWAAA AKHIRNYA JOIN!!!!,arill.1125,0 likes,2023-11-01T13:05:45.000Z,positif,engagement
"Kan.....dia lagi, udh capek denger mika asuma",rafi28arya,2 likes,2023-11-01T13:01:37.000Z,negatif,engagement
Terlihat kawai,akarisaaa,0 likes,2023-11-01T12:09:53.000Z,positif,engagement
Siapa sangka,jubah_ungu_animation,2 likes,2023-11-02T14:17:26.000Z,positif,pertanyaan
nah kan betol mika asuma 🗿,miyukiiyoshioka,0 likes,2023-11-01T12:10:48.000Z,positif,engagement
Bener dugaan wkwkkw 😂,escendol.real,0 likes,2023-11-01T12:17:09.000Z,positif,engagement
Ada target baru buat di rusuhin nih,dmtxhunter,0 likes,2023-11-06T12:24:59.000Z,negatif,engagement
Ciee di rekrut agensi@mikaasuma🗿😅,azelarta,0 likes,2023-11-01T12:48:20.000Z,positif,engagement
Plot twist: ternyata itu yuta 😁,miyuu.piww,22 likes,2023-10-17T08:23:45.000Z,netral,engagement
"Ada kemungkinan paha Yuta, puja paha Yuta 😂",delete_man1,2 likes,2023-10-18T01:57:15.000Z,netral,engagement
Sena kah? Tapi kok ada tato bekas gigit nya Orochimaru min 🤣🤣,nekoyamasora,10 likes,2023-10-17T08:13:31.000Z,positif,pertanyaan
yuta 3.0 🔥🔥🔥,dgcheeznutz,2 likes,2023-10-17T08:36:44.000Z,positif,engagement
Paha krispy,jubah_ungu_animation,2 likes,2023-10-18T12:02:48.000Z,netral,engagement
itu bawah kiri maksudnya ap kak,kawakinanaa,3 likes,2023-10-17T09:48:20.000Z,positif,pertanyaan
Hm yuta ga si,cipa.r4,3 likes,2023-10-17T09:00:27.000Z,netral,engagement
Kawaki,bochan_2.0,0 likes,2023-10-17T08:49:56.000Z,netral,engagement
Programmer kahh? Titik koma :v,arighani._,1 like,2023-10-17T12:53:20.000Z,positif,engagement
Sena ga SIHH 😍,be4realhyunjin,0 likes,2023-10-17T09:47:54.000Z,netral,engagement
Tau taunya Sena 😁😁,k4zuma.exe,0 likes,2023-10-17T10:01:27.000Z,netral,engagement
Sena bukan yaa 😂,onibaebae,0 likes,2023-10-17T09:21:02.000Z,netral,pertanyaan
ap ni,zakuro.amp,0 likes,2023-10-17T08:54:13.000Z,netral,pertanyaan
Ayoo?🤨,koootoshidayo,0 likes,2023-10-17T08:58:38.000Z,netral,pertanyaan
; ? Are you okay?@nekoyamasena,laz_ardii,0 likes,2023-10-17T08:48:27.000Z,positif,pertanyaan
MAMAAAHHHH HUH HAH HUH HAH HHMMMMFFFFFFFFF,rarupaus,3 likes,2023-08-20T03:12:09.000Z,negatif,engagement
Mommyyy,znnti.al,2 likes,2023-08-20T06:27:40.000Z,positif,engagement
New mommy unlocked!,andifarrelldgs,2 likes,2023-08-20T03:28:25.000Z,positif,engagement
OH MY- MOMMYYY!?!?!?!,chinta_oficial_12,1 like,2023-08-20T02:47:23.000Z,positif,engagement
aku akuu ada akuuu!!!,nishikimari_,3 likes,2023-08-20T06:35:18.000Z,netral,engagement
Makin random aja nih karakternya😂,aidinrafa,5 likes,2023-08-20T06:08:39.000Z,positif,feedback
aw shit mommy 😋,nothannnnnnn,1 like,2023-08-20T02:14:38.000Z,positif,engagement
Mommy!!,akanewh.cikiyah,1 like,2023-08-20T03:06:02.000Z,positif,engagement
Uwoooogh koi premium,tamaki_al,1 like,2023-08-20T04:46:18.000Z,netral,engagement
waduh,aqwa_alfa,1 like,2023-08-20T02:50:42.000Z,negatif,engagement
Mommy Para Koi omaga,nadhifgeminkxd,1 like,2023-08-20T02:31:55.000Z,positif,engagement
WOAHH MOMMY IKAN!!!!!,liyaa_fz99,1 like,2023-08-20T03:29:56.000Z,positif,engagement
"Stay with sena, walaupun banyak vtubsr baru😺🥵",the.rexxi_,3 likes,2023-08-20T03:53:11.000Z,positif,engagement
Aku mau😋😋,cocomelon_arc,0 likes,2023-08-20T09:58:32.000Z,netral,engagement
Mommy baruu,hemyminee,1 like,2023-08-20T02:51:20.000Z,positif,engagement
G kebayang baju lamanya dakian tuh chi baru mo ganti awkwkw congrats btw echii ✌🏻,adithyapraa,0 likes,2023-08-07T13:34:37.000Z,positif,engagement
Akhirnya echi mandi dan ganti baju,gatrafrans_m,13 likes,2023-08-07T13:21:49.000Z,positif,feedback
Selamat ya kak 😍,camelliaazurine,0 likes,2023-08-08T01:42:52.000Z,positif,engagement
Yeay echii👏,dhyladdn_,0 likes,2023-08-07T14:48:42.000Z,positif,engagement
Dari terong jadi pisang?,yukihira_kenn,0 likes,2023-08-07T15:12:38.000Z,netral,pertanyaan
Mb Tia ?,syafri_777,0 likes,2023-08-07T15:57:34.000Z,netral,pertanyaan
smoga outfit nya tambah yabe,rhenaid_,0 likes,2023-08-07T14:21:22.000Z,positif,feedback
akhirnya ada perubahan hidup 🙂,dicksonryan_,0 likes,2023-08-07T13:08:55.000Z,positif,feedback
Omg,aizengmr,0 likes,2023-08-07T16:03:00.000Z,netral,engagement
beda 2 hari dengan holoh3ro,rhenaid_,1 like,2023-08-07T14:21:02.000Z,netral,engagement
terong berevolusi lets goo,masgipenn,0 likes,2023-08-07T15:31:11.000Z,positif,engagement
waw costum baru🔥,adit_novem,0 likes,2023-08-09T12:18:50.000Z,positif,engagement
Dicuci jg bajunya 💀,illustraph,10 likes,2023-08-07T14:29:06.000Z,positif,engagement
🤤😋,mocca_xd,0 likes,2023-08-07T13:06:00.000Z,netral,engagement
Gw masih ingat waktu YouTube nya 20k🙂,shafaris_h,0 likes,2023-08-07T14:37:30.000Z,positif,engagement
Wehehe its timee~,rdanartz_,0 likes,2023-08-07T14:31:28.000Z,positif,engagement
let's gollo🔥🔥🔥,rhenaid_,0 likes,2023-08-07T14:20:51.000Z,netral,engagement
akhirnya ganti baju setelah beberapa kali mandi,deemondice,0 likes,2023-08-07T13:14:28.000Z,positif,engagement
GA SABARRR,playmgirls_,0 likes,2023-08-07T13:48:12.000Z,negatif,engagement
Whoaaa gk sabar,krisnaartha.weda,0 likes,2023-08-07T14:26:47.000Z,negatif,engagement
cople ama alhaitam gk ne baju bang ?,chimot_fx,0 likes,2023-08-07T15:24:48.000Z,netral,pertanyaan
Lets goo skin terong,rezki_noor,0 likes,2023-08-07T15:29:02.000Z,positif,engagement
Yeyy terong ungu versi upgrade,bennetarchontevyat,0 likes,2023-08-07T16:40:02.000Z,positif,engagement
abis ke mall nya beli baju baru,anggaapppppp,0 likes,2023-08-07T13:07:31.000Z,positif,engagement
Nah gitu mandi,danwahard,0 likes,2023-08-07T22:51:37.000Z,positif,engagement
Akhir nyaaa,faqihhthef,1 like,2023-08-07T14:42:19.000Z,netral,engagement
anomali ungu mandi,christwann,0 likes,2023-08-08T00:00:47.000Z,negatif,engagement
waduh ganti baju 😎,wawiwuwawu,0 likes,2023-08-07T13:02:02.000Z,positif,engagement
"Ternyata ganti baju jg, kirain gk pernah mandi",lana_m4ulana,0 likes,2023-08-07T13:04:11.000Z,positif,engagement
Affakah bukan prank🗿🗿,nekomaiyuw,0 likes,2023-08-07T13:05:50.000Z,negatif,pertanyaan
"N.E.E.T, T nya Terong",adip_t,0 likes,2023-08-08T01:27:06.000Z,netral,engagement
Nah gitu dong dicuci bajunya biar gak bau💀,alip.aflh,1 like,2023-08-10T00:51:52.000Z,netral,feedback
Anomali ungu berevolusi,puputqa_,0 likes,2023-08-08T00:53:57.000Z,positif,engagement
terong 2.0,zhdn.ix,0 likes,2023-08-07T16:06:41.000Z,netral,engagement
terong requiem,ahmaddwisaputra16,0 likes,2023-08-08T05:18:04.000Z,positif,engagement
Laundry nya baru buka kwkwkwkw,dan_wis24,0 likes,2023-08-08T00:13:05.000Z,positif,engagement
Wew ramai kostum2 baru letsgoo,vo_vlamble,0 likes,2023-08-08T01:39:45.000Z,positif,engagement
Akhirnya ganti baju setelah sekian lama,kowalski_deep,0 likes,2023-08-07T14:13:51.000Z,positif,engagement
Seperti dugong :v,whoisridho_,0 likes,2023-08-08T00:46:57.000Z,negatif,engagement
Jangan pake BH dikepala seperti perkataan V,vdiero,0 likes,2023-08-08T15:45:06.000Z,positif,feedback
Saved,rusdii_yz94,0 likes,2022-09-05T17:57:16.000Z,netral,engagement
Akhirnya bisa dijadian ringtone unggak nya cecil,rikaru_rin,0 likes,2022-08-11T11:47:21.000Z,positif,engagement
Oke save,tokunime.indo,0 likes,2022-06-26T12:21:33.000Z,netral,engagement
unggak ~~~~ 😂😁👍🏻,maastion.official,1 like,2022-06-26T04:04:46.000Z,positif,engagement
Saved,hilmy.mhf,0 likes,2022-06-26T03:15:32.000Z,netral,engagement
Saved,akane_laterano_07,0 likes,2022-06-25T16:30:09.000Z,netral,engagement
Saved,_mabskuy14,0 likes,2022-06-25T14:13:03.000Z,netral,engagement
tskr❤️,hisqiem,0 likes,2022-06-25T13:18:48.000Z,netral,engagement
Asek ringtone baru 😂,faza_dharmawan,0 likes,2022-06-25T09:03:47.000Z,positif,engagement
Langsung jadiin ringtone notifikasi,naufalwidiyantama,1 like,2022-06-25T08:02:42.000Z,positif,engagement
nice collection,riku.312,1 like,2022-06-25T07:43:49.000Z,positif,engagement
Nambah koleksi,azm_panda,1 like,2022-06-25T07:06:51.000Z,netral,engagement
Nice dapet ringtone baru nih~ 😂,hipclone_72,1 like,2022-06-25T06:18:18.000Z,positif,engagement
Pengen ikut tapi peraturan bilang hanya untuk perempuan,mikael.the.ocean,2 likes,2023-08-25T03:20:51.000Z,negatif,feedback
Itu yg di tengah pas awal video siapa? Kok cantik banget tapi ga pernah keliatan,just.normies_,7 likes,2023-08-25T00:05:34.000Z,positif,pertanyaan
"min , bagaimana kalau umur nya tidak cukup untuk mencapai minimal untuk mengikuti audisi ?",ayydesu._,5 likes,2023-08-24T23:55:02.000Z,positif,pertanyaan
Ikzzz!! Gen 4 is coming!,msg.flower,5 likes,2023-08-24T23:40:52.000Z,positif,engagement
asikkk gen 4❤,risqi_vodoo,3 likes,2023-08-24T23:26:09.000Z,positif,engagement
"ikzzz gen 4 haha, auto cari dedek atau cewek2 gemes ni hah😂😍",_bbek.exe_,0 likes,2023-08-25T01:01:00.000Z,positif,engagement
"Satu channel buat dua orang bisa gaa? Trus yang satu nya sdh 20 thn, satunya lagi 15 thn, bisa kah?",narnarart_,0 likes,2023-08-26T00:53:26.000Z,positif,pertanyaan
mint yang tengah ikut debut gen 4 kah?,koalaruu,0 likes,2023-08-25T02:20:56.000Z,positif,pertanyaan
Mm... I'm waiting for the world market to change first..,cedricadd_gar0_0,0 likes,2023-08-25T16:15:15.000Z,netral,engagement
Yang tengah kapan debut kak,mure.r5,0 likes,2023-08-26T09:09:49.000Z,positif,pertanyaan
Masih menunggu kabar penyihir gosting,shofadam,0 likes,2023-09-19T12:04:51.000Z,positif,engagement
17 tahun boleh ga ya?,osgnngi,0 likes,2023-08-25T10:43:23.000Z,positif,pertanyaan
Kak yg kuning di tengah itu gen 4 nya ya?,kamb1ngh1tamjr,0 likes,2023-08-25T06:22:02.000Z,positif,pertanyaan
"Kucing ini sangatlah lucu,ingin kulamar 😋",yashagi88,71 likes,2023-07-12T14:44:29.000Z,positif,engagement
Meanwhile Kobo: ARE U SURE ABOUT THAT HAH?,em.dpaa,104 likes,2023-07-12T14:43:53.000Z,negatif,pertanyaan
Cemangatt cenaaa❤️🔥🔥🔥,hiro_cohiko,3 likes,2023-07-13T00:31:06.000Z,positif,engagement
"Haloo Senaaaa,Aku Defenisi Kucing idaman hihi😹😹😹👍🏻",filigamers,5 likes,2023-07-12T14:50:06.000Z,netral,engagement
Iya jago banget main gamenya 😂,altaffarrel0303,1 like,2023-07-12T14:48:22.000Z,positif,engagement
HAI KAKK SENAAA,kukuruyuk_kwekwek,1 like,2023-07-12T14:36:37.000Z,netral,engagement
Kalo jago pasti bisa Mabar sama akh,pencuri.meme.hamdal2.0,12 likes,2023-07-12T15:11:05.000Z,positif,engagement
"98% muak,2% gabut liat nih kucing",revan_kanata_,31 likes,2023-07-12T14:36:56.000Z,negatif,engagement
"Oh no, kucing ini semakin imut dari waktu ke waktu 😊💮 mangats Sena~",okuta.zero10,1 like,2023-07-14T03:57:40.000Z,positif,engagement
"Kucing ini sangat lucu,, Jadi pengen gigit 😋 Soalnya kamu teh lucu bangettttt AAAAAAAAAAAAA",cyuujiin,3 likes,2023-07-13T09:44:31.000Z,positif,engagement
Sena brp sama kandangnya ?,nan.strwn,0 likes,2023-07-12T15:00:40.000Z,netral,pertanyaan
sena juga bisa mengeong,inii_jekpat,6 likes,2023-07-12T14:41:28.000Z,netral,engagement
"""Om gaqit om gaqit""",rpi_ucing,90 likes,2023-07-12T14:41:02.000Z,netral,engagement
Kak kapan cosplay svarog (garit) dan clara lagi?:3,noval_psatir077,3 likes,2023-07-12T14:47:05.000Z,positif,pertanyaan
@blogwerssena,magazena05,0 likes,2023-07-12T21:52:38.000Z,netral,engagement
Siapa sangka sena bisa main game 😱😱😱,aldi_saputra322,5 likes,2023-07-12T14:52:04.000Z,netral,engagement
Kucing ini sangat lah lucu dan multitalenta  menjadi apa saja🗿,megumin_edizt,5 likes,2023-07-12T23:51:53.000Z,positif,engagement
Oo gitu,misteriusfullv,1 like,2023-07-12T23:38:42.000Z,netral,engagement
Nama sena nekoyama sena biasa dipanggil sena,adrianvalenz_2,1 like,2023-07-12T16:37:14.000Z,netral,engagement
Kucing Gunung 😂,fery619,3 likes,2023-07-12T15:35:53.000Z,positif,engagement
Sena pasti kamu kodok,ur.cuteeee_,1 like,2023-08-23T17:39:03.000Z,netral,engagement
Iya deh dek,arkndll,0 likes,2023-07-12T14:37:49.000Z,negatif,engagement
Senaa sapa aku dong,ozetneles,0 likes,2023-07-12T14:37:51.000Z,netral,engagement
Sena Rrrrrrrrrreeree,nursaurus,0 likes,2023-07-12T14:38:02.000Z,netral,engagement
Iya sen iya,mnkyrhan,0 likes,2023-07-12T14:38:13.000Z,negatif,engagement
Iyaa deh si paling jago,yukin_yukine,0 likes,2023-07-12T14:38:58.000Z,positif,engagement
Wkwk,hikaru_kazukine,0 likes,2023-07-12T14:40:15.000Z,positif,engagement
Top aim tahun ini,ramnac_5,0 likes,2023-07-12T14:40:40.000Z,positif,engagement
😆😆,choaeyo_,0 likes,2023-07-12T14:42:14.000Z,netral,engagement
I know,e.ghais_gaming.09,0 likes,2023-07-12T14:42:36.000Z,netral,engagement
Ehe,bran_x_dar,0 likes,2023-07-12T14:45:24.000Z,netral,engagement
🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿,aria.rli7n,0 likes,2023-07-12T14:46:14.000Z,netral,engagement
iya aja sen biar seneng,tryzetch,0 likes,2023-07-12T14:46:34.000Z,positif,engagement
"Aku mau kek kak Sena, jadi Vtuber. Avatar nya kucing militer 😂",readingkyoujurou556,0 likes,2023-07-12T14:52:43.000Z,positif,engagement
Yang trakhir valid sih senn 🤣,odinsama12,0 likes,2023-07-12T14:52:59.000Z,positif,engagement
Kemanisan cuyyy,kaupdilah,0 likes,2023-07-12T14:56:42.000Z,negatif,feedback
Om ghakhitt2,azzamm_505,0 likes,2023-07-12T14:57:19.000Z,netral,engagement
Senyuttttt 😂😂😂,felixprastama,0 likes,2023-07-12T14:57:20.000Z,positif,engagement
Nt sen nt....👏👏,fiq135_,0 likes,2023-07-12T14:58:47.000Z,netral,engagement
Hallo Sena bocil,toro_kun_,0 likes,2023-07-12T15:02:34.000Z,netral,engagement
Baru sekarang buat promosinya sen,aidinrafa,0 likes,2023-07-12T15:03:26.000Z,negatif,feedback
"""Om gakhit""",dzikra_n_l,0 likes,2023-07-12T15:04:30.000Z,netral,engagement
Sena bisa beli pulau nggak sama ngambil uang rakyat ?,adriansastrajendra,0 likes,2023-07-12T15:06:05.000Z,negatif,pertanyaan
"Halo Sena,pen disapa",thinking_is_hobby,0 likes,2023-07-12T15:07:11.000Z,netral,engagement
Sena di rumah aku ada kandang kosong kamu mau isi gak?😂,yuu_alter,0 likes,2023-07-12T15:11:03.000Z,negatif,pertanyaan
"Jago banget mainnya, Lupa pencet spasi*",aprayada,0 likes,2023-07-12T15:11:27.000Z,positif,engagement
Sena 🗿 Main game,faisal_cimahi,0 likes,2023-07-12T15:16:04.000Z,negatif,feedback
jadi adiknya om kratos🗿,akippxrinso,0 likes,2023-07-12T15:20:25.000Z,netral,engagement
Sena juga bisa jadi kobra,waffelsby,0 likes,2023-07-12T15:20:38.000Z,netral,engagement
cetek tong tong,ndhfools,0 likes,2023-07-12T15:22:31.000Z,negatif,engagement
jago berak,mabizarp,0 likes,2023-07-12T15:24:34.000Z,negatif,engagement
aku mau jadi niichan nya senaa😮😳,ini.jero,0 likes,2023-07-12T15:24:42.000Z,positif,engagement
Sen kamu nggak ikut pindah rumah sama Mas Garit?,adhikasaharsa_54,0 likes,2023-07-12T15:24:54.000Z,positif,pertanyaan
Keren lu sen,ayamlawd,0 likes,2023-07-12T15:30:33.000Z,positif,engagement
Waduhh Sena ngedesahh,dimas_my1231,0 likes,2023-07-12T15:32:21.000Z,negatif,engagement
"""Sepi dan menyedihkan"" Tenggelam di lautan realita",kenhassasin,0 likes,2023-07-12T15:35:37.000Z,negatif,engagement
"Watdehel endingnya, nih loli enaknya ku apain yak",igasaki_korel,0 likes,2023-07-12T15:36:03.000Z,negatif,engagement
Iya sen jago banget haha iya 😅,rippvd.__,0 likes,2023-07-12T15:38:09.000Z,positif,engagement
Anak bapak garid,neozaro,0 likes,2023-07-12T15:39:48.000Z,netral,engagement
Weeiit..nama sena nekoyama sena?...bentar kok ada yg aneh 😂,rdn.prm0908,0 likes,2023-07-12T15:42:24.000Z,negatif,pertanyaan
Ending nya seketika senyum ku jadi diam,eza_wizard,0 likes,2023-07-12T16:02:08.000Z,negatif,engagement
Apa? Kao bilang adik? Aku mawu 5😁,masrdwnnn_ciroo,0 likes,2023-07-12T16:07:13.000Z,netral,pertanyaan
✨💖✨💖✨,tatang_art,0 likes,2023-07-12T16:09:02.000Z,netral,engagement
Kapan ya bisa liat Sena gondal gandul,hanya_orangbiasa00,0 likes,2023-07-12T16:26:05.000Z,netral,pertanyaan
Jago bgt😱,azxrlll,0 likes,2023-07-12T16:27:29.000Z,positif,engagement
Sentod maen ep ep,dedek._amy,0 likes,2023-07-12T16:28:16.000Z,negatif,feedback
sen kalo berak pake pasir merek apa ?,yahtsu_sama,0 likes,2023-07-12T16:29:06.000Z,netral,feedback
Kak Sena aim kakak kemana kok di valo nembaknya cicak bukan orangnya,austi_n1250,0 likes,2023-07-12T16:44:57.000Z,negatif,pertanyaan
"Apasih kucing gw gw bakar lo nanti "" Om gariiit aku di pukul""",volt.tr,0 likes,2023-07-12T16:48:17.000Z,negatif,engagement
Aaaaa.... Lucu banget waifu gw,masanobukai_23,0 likes,2023-07-12T17:01:54.000Z,positif,engagement
"aim busuk ga ngaruh ya sen, YG PENTING SUBSCRIBE CHANEL SENAAAAA GUYSSSS😎😎😎😎🤟🤟🤟🤟",xygbil,0 likes,2023-07-12T17:13:01.000Z,positif,engagement
Lucunya Anak Om Kratos🥰,diky_075,0 likes,2023-07-12T17:25:03.000Z,positif,engagement
Skil issue,_gyrooo,0 likes,2023-07-12T17:25:52.000Z,negatif,feedback
@garit.dewanaom liat ini om,r.ennn81,0 likes,2023-07-12T17:27:00.000Z,netral,engagement
Er er er er er er er er,lilxavyer7,0 likes,2023-07-12T17:40:27.000Z,netral,engagement
"kamu jago kok sen,di mata kobo",farrsze,0 likes,2023-07-12T18:09:29.000Z,netral,engagement
"Nama saya ryu, biasa kalo di panggil nengok😁",ryuuuskie,0 likes,2023-07-12T18:52:59.000Z,netral,engagement
video promosi yang sangat epic 🔥🔥🔥,killomatic12,0 likes,2023-07-12T20:09:58.000Z,positif,engagement
