comments,sentimen,kategori
Cantik banget chi artnya sama kek kamu 🥰🥰,Positif,Engagement
"woooo covernya mantep!! Ikutan nyanyi hafalnya gara gara ame ame bikin nyaman suaranya~<br><br><br><br><br>AME~",Positif,Engagement
"Echi chan terimakasih buat full cover version aku menyukainya~ 💜<br><br>Ame~!",Positif,Engagement
tangan nya bisa digenggam banget,Positif,Engagement
pengen ku genggam🤣🤍🤍,Positif,Engagement
OMOOO OMOOO RINA SUKA BANGET SM LAGU JUNGKOOKIE OPPA<br>GOMAWO KAK ECHI UDAH COVER LAGU NYA SUAMIKU😭😭🤍,Positif,Engagement
Entah kenapa berhalusinasi lagu ini di cover jepang... Beneran ada ternyata...<br>Terima kasih sudah memenuhi halu saya secara tidak langsung 🤭🙏,Positif,Engagement
sangat menggemaskan sekali 🙌,Positif,Engagement
Cakep👏 bang,Positif,Engagement
Aku suka sama translate nya ❤︎ makasi banyak ya,Positif,Engagement
Tangan echi wangi,Positif,Engagement
"majukan belom ada cincin nya😂",Positif,Engagement
Oke aku bakal coba lagunya tar update kalo diterima/ditolak wkwkwk,Positif,Engagement
Keyboard nya bagus juga tuh kak,Positif,Engagement
Is this a magic spell?!<br>Like i was stressed and after hearing this all of sudden i feel refresh and alive.,Positif,Engagement
Kebiasaan vtuber suka nyanyi dan mukanya imut kalo gw liat gw cubit telinga kamu lucu amat suara kamu 😂,Positif,Engagement
suaranya bagus banget calon peserta idol junior nih,Positif,Engagement
Ingin ku emut saking imutnya😍,Positif,Engagement
"Mirip tangan gua cuma warnanya doang yang beda :v",Positif,Engagement
Wah kerenn sepertinya cocok deh gandengan tangan sama gw 😂,Positif,Engagement
Dulu belum cover king belum vtuber sekarang .. gak ame ga vtuber ... wkwkwk,Positif,Engagement
Terong yg bikin birahi suaranya,Positif,Engagement
Biasa saja sih (imut banget anjir),Positif,Engagement
Terong yang satu ini emang sering membuat salting,Positif,Engagement
@taqimurphypantas sering kamu pake headset ini untuk dengar to,Positif,Engagement
Oh no dicium terong 😂,Positif,Engagement
"Cie yg senyum senyum sendiri 😁, like dulu kalo sama >>>>>>>>",Positif,Engagement
Bagus banget suaranya kak aku suka cover ini 👌👍❤,Positif,Engagement
Dicium terong manis thank you,Positif,Engagement
Woi salting brutal ah,Positif,Engagement
Ak Mau 😋,Positif,Engagement
Terong satu ini sangat bikin hati berdebar debar,Positif,Engagement
Makasih untuk seseorang yang udh beliin chiki buat echi jd cover ame ame dia wkwkkw,Positif,Engagement
Gila.. Lagu kesukaan ku di cover sama Vtuber kesukaan ku!! Bagus banget!!,Positif,Engagement
imut dan keren banget,Positif,Engagement
Istri gw akhirnya 3D,Positif,Engagement
tumben anomali terong jadi imut,Positif,Engagement
OMG THIS IS so good and cute wooo  💖💖💖💖💖💖,Positif,Engagement
I love you sena💖💖💖💖,Positif,Engagement
SUARA NYA IMUT AMA EDITAN NYA BAGUSS SEKALI,Positif,Engagement
Ahh makasih Sena😭😍 udah cover aku suka banget Amatsuki aku suka banget lagu ini ahh❤️❤️❤️,Positif,Engagement
suara sena bagus baget!,Positif,Engagement
Lagu ini enak buat pengantar tidur 👍👍🥰🥰,Positif,Engagement
Diluar biasa aja di hati berbunga bunga,Positif,Engagement
GILA APA INI BAGUS KALI,Positif,Engagement
Terong🍆 satu ini lumayan menggoda ya😍😍,Positif,Engagement
Yo lets go its today we gonna see zeta become 3d i cannot wait,Positif,Engagement
Wah suara sena gemoy banget kyk rasa aku bermimpi 😊,Positif,Engagement
Sama ni gk sabar.. yuk hari ini aja gaskan..😂,Positif,Engagement
Kerja bagus🗿👍,Positif,Engagement
suara yg manis 😄,Positif,Engagement
aduh terong iya terong aku iyakan 🥰🥰,Positif,Engagement
Lagi² di kasi suara Chloe 🥰,Positif,Engagement
Inilah alasan suka echi kadang goyang goyang ndak jelas tapi ada sisi UwU nya 🗿,Positif,Engagement
"Semangat senaa, gws🔥",Positif,Engagement
Ganbatte🔥,Positif,Engagement
aw lagu favorite akhirnya di cover~ otsu kalian,Positif,Engagement
😍😍😍 bagus sangat merdu sampai tertidur,Positif,Engagement
wah lagunya bagus buat yang suka merenung saat malam,Positif,Engagement
the best emang suara chloe,Positif,Engagement
"beli lah masa enggak 3 miliyar pun aku bayar cik😁👍",Positif,Engagement
Keren banget dong 😍<br>Lagu kesukaan ku dulu sekarang jadi suka lagi 😭🙏<br>Emang ya kalian keren banget 😤😤,Positif,Engagement
Otw nonton🔥🔥🔥,Positif,Engagement
berapapun ku beli 😁,Positif,Engagement
Kya bagus banget makasih udah cover ini chloe dan abang!,Positif,Engagement
Lucu art nya😃,Positif,Engagement
Ikuzo!! Gen 2 is coming!,Positif,Engagement
asik gen 2 nya datang!,Positif,Engagement
Jago banget ya ges ya,Positif,Engagement
akhirnya anomali ungu berevolusi 😁😁,Positif,Engagement
Anti vtuber tapi kalau yg ini boleh lah 😂😊,Positif,Engagement
Laundry nya baru buka wkwkwk,Positif,Engagement
Wew ramai kostum2 baru lets goo,Positif,Engagement
semoga panjang umur dan sehat selalu ya kak Sena😊😊😊,Positif,Engagement
Akhirnya bisa dijadian ringtone nya cecil,Positif,Engagement
Asik ringtone baru 😂,Positif,Engagement
Mantap auto langsung jadiin ringtone notifikasi,Positif,Engagement
Ngakak + lucu gemoyy gitu🤣🤣🤣,Positif,Engagement
Nice dapet ringtone baru nih~ 😂,Positif,Engagement
Nooo😭😭😭bocil rehat,Negatif,Engagement
"98% muak 2% gabut liat nih kucing",Negatif,Engagement
MAMA AKU TAKUT,Negatif,Engagement
Ame nya tetep kedengaran chi😭,Negatif,Engagement
hari hari yg menyedihkan😭😭😭,Negatif,Engagement
Udah stop stop stop :&quot;😭,Negatif,Engagement
Waduh Sena mendesah,Negatif,Engagement
Sepi dan menyedihkan Tenggelam di lautan realita,Negatif,Engagement
"what the hell endingnya, nih loli enaknya aku apain ya",Negatif,Engagement
Ending nya seketika senyum ku jadi diam,Negatif,Engagement
"Apasih kucing gw gw bakar kamu nanti Om garit aku di pukul",Negatif,Engagement
"Hell no, ga salah denger gw sena ngomong r tadi",Negatif,Engagement
"""Mencintai wanita adalah hal yang mudah, tetapi dicintai oleh wanita adalah hal yang mustahil"" 😭 ~putraa",Negatif,Engagement
Rip aim moment🗿🤮,Negatif,Engagement
gausah sok imut kamu kontol,Negatif,Engagement
"maaf ya sen, aku skip video ini",Negatif,Engagement
harusnya Nembak orang malah Nembak tembok,Negatif,Engagement
Lagunya sesuai perasaanku padanya😭,Negatif,Engagement
"Nunggu kelar dapet bill benerin motor dulu Kak Sena🥲. Real, aku juga mau punya baju yang gambar nya cewek anime, tapi duit gaji ku tidak mendukung🥲",Negatif,Engagement
Bayangin kalo guru wibu beli ini 💀,Negatif,Engagement
sedang menunggu anime satu ini kembali,Negatif,Engagement
Tidak tidak tidak @nekoyamasena aku sudah tau semuanya💀💀💀💀💀,Negatif,Engagement
huek fetish kaki🤮🤮,Negatif,Engagement
gawat pose nya💀,Negatif,Engagement
Ih wibu,Negatif,Engagement
Oy yang wibu Jangan senyum-senyum sendiri ya!,Negatif,Engagement
Gue yang gak sengaja melakukan click terus di suruh jangan skip video ya be like: kenapa ini terjadi WHY!!!,Negatif,Engagement
anjing lah,Negatif,Engagement
Thumnail yang sus karena sena lagi........,Negatif,Engagement
Astaga skill issue,Negatif,Engagement
hanya bisa memutar lagu chloe sambil menunggu anime ini balik stream. demi melegakan setetes rindu dengan lantunan suara yang merdu,Negatif,Engagement
Takut sen nanti punggungku ada yang ngendus” lagi,Negatif,Engagement
NOOOO💀💀,Negatif,Engagement
Udah bejat nih anak,Negatif,Engagement
Yah sayang banget yaa sekarang Chloe bikinnya ditambah lirik jadi para lirikers tidak ada bahan 😓<br>Tapi gapapa deh hubungan aku sama Chloe masih lancar kok<br><br>Karna beda dimensi hanyalah halangan bukan berarti tidak bisa saling mencintai❤💛💙,Negatif,Engagement
Astaghfirullah mataku,Negatif,Engagement
"Hahaha makasih Chloe lagunya pas di nyanyiin di kafe dia malah jadian sama yang lain<br><br>Edit: tetep nyantai.. life goes on ~",Negatif,Engagement
Hari ini Valentine loh kok kamu merusak hati fans,Negatif,Engagement
What the 💀,Negatif,Engagement
kata mama ga boleh 💀,Negatif,Engagement
Masih lebih enak suara kobo kanaeru,Negatif,Engagement
Woi lah jangan sus sus ntar mamaku marah,Negatif,Engagement
porno bangett busett,Negatif,Engagement
Ada kenangan manis di lagu ini yg gak akan lupa,Negatif,Engagement
Aduh bahaya nih fetish kaki,Negatif,Engagement
sedang cari sena di situs jagung<br><br>Lah gak ada,Negatif,Engagement
vtuber aku mana 😭😭😭,Negatif,Engagement
Aku nyanyiin ke anime dia gk respon🥲,Negatif,Engagement
"Nope your feet is not my fetish",Negatif,Engagement
Dikirain live ternyata 😅,Negatif,Engagement
kok aku kesindir ya<br>hari hariku kan sangat amat menyedihkan.....,Negatif,Engagement
Informasi yang ada kurang akurat ya,Negatif,Engagement
"Jadi selama ini begitu sempak nya vtuber, i see",Negatif,Engagement
Malas fetish kaki bau kaki,Negatif,Engagement
terlalu sus.. skip dulu 🙏,Negatif,Engagement
Kalo dia graduate dia bakal ikut para Kakak nya yg graduate dulu,Negatif,Engagement
Duh kok takut ya,Negatif,Engagement
firasat aku buruk,Negatif,Engagement
jangan lakukan ini sen,Negatif,Engagement
FIRASATKU BURUK,Negatif,Engagement
ih 🤮🤮 goblok,Negatif,Engagement
waduh dah ketebak sih😢,Negatif,Engagement
cuih ini lagu jepang bocah<br>//nampar kamu<br>kalau nggak suka lagunya ngapain mampir:/ bocil prik,Negatif,Engagement
Waduh bau bau sad ending,Negatif,Engagement
I have a bad feeling about this zzz,Negatif,Engagement
kampret nih bocil freak,Negatif,Engagement
I didn't trust this picture,Negatif,Engagement
Critical hit! DEATH,Negatif,Engagement
Jangan sampai... Gw rumbling juga ini sealam semesta,Negatif,Engagement
Shit about to get real,Negatif,Engagement
art dan caption yg bikin ketar-ketir,Negatif,Engagement
Clickbait ini pelanggaran!!!!!,Negatif,Engagement
aku nyesel nonton video ini,Negatif,Engagement
Posisi jari tangan yang meresahkan ya gaes ya 🗿🙏🏻,Negatif,Engagement
"Kukunya sih sudah bagus tapi kok bau belum mandinya sampai sini sih chi",Negatif,Engagement
langsung menyesal,Negatif,Engagement
Gara gara video ini gw kena rick roll 1000 kali,Negatif,Engagement
"Gak dulu aku skip",Negatif,Engagement
Bang kok pake gituan bang astagfirullah,Negatif,Engagement
Dah nyoba semua saran dari chloe tetep ae di tolak malah dibilang terlalu percaya diri,Negatif,Engagement
Anjing ada bekas korek burit cuk,Negatif,Engagement
ih jari kuntil jelek,Negatif,Engagement
ih buka website mana kamu woi anak kecil kok gk family friendly,Negatif,Engagement
cringe manusia sialan,Negatif,Engagement
ih sesat,Negatif,Engagement
diliat doang kok langsung ngambek ih baperan,Negatif,Engagement
nggak mau gua dikecup sama terong,Negatif,Engagement
"Thanks chloe walaupun udh telat... Tapi lagu ini bikin aku diterima",Negatif,Engagement
Sial kenapa aku tersipu,Negatif,Engagement
"Gila, wibu kalau gak Stres ya cabul.....",Negatif,Engagement
Ih kepedean banget,Negatif,Engagement
Terong bokep,Negatif,Engagement
Stress goblok,Negatif,Engagement
"Makasi atas terbuang sia sianya kuota gua yang belinya pake pulsa darurat lagi 😊",Negatif,Engagement
Sudah tidak terselamatkan 💀,Negatif,Engagement
Sial Aku kena genjutsu Terong,Negatif,Engagement
Parah baru subscribe malah di rickroll parah lu kak aku kasih tau mama gw,Negatif,Engagement
bacot 🤬,Negatif,Engagement
Noob 🤬,Negatif,Engagement
Parah nge bait anjir,Negatif,Engagement
sudahi pls makin jadi aneh nih agensi,Negatif,Feedback
Pengen ikut tapi peraturan bilang hanya untuk perempuan,Negatif,Feedback
Kemanisan cuy,Negatif,Feedback
Baru sekarang buat promosinya sen,Negatif,Feedback
Sena bosen request main game,Negatif,Feedback
Sena ayo main free fire udah gk pernah main lagi,Negatif,Feedback
"Kalo ngantuk turu woi malah diem-diem baik",Negatif,Feedback
Ga serem<br>Yg serem tuh kalau ada tulisan &quot;Announcement&quot;,Negatif,Feedback
Beliau terlalu barbar untuk promosi di ig💀,Negatif,Feedback
Andai ada ame nya,Negatif,Feedback
Sangat tidak cocok dipakai solat,Negatif,Feedback
Kak sena ini terlalu porno 💀,Negatif,Feedback
jorok gitu design nya,Negatif,Feedback
"Otsu banget cover nya ciii kerenan ini sumpah jangan sentuh sentuh lagi tuh curse word <a href=""about:invalid#zCSafez""></a><a href=""about:invalid#zCSafez""></a>",Negatif,Feedback
Bagiku design nya bagus...cuman yg agak tidak bagus nya adalah.... Kenapa dibagian bawahnya itu... ☕,Negatif,Feedback
Sedikit kurang cocok tapi gpp lah,Negatif,Feedback
Waduh terlalu vulgar jika dipakai diluar,Negatif,Feedback
No tidak familiy friendly,Negatif,Feedback
Terlalu seksi untuk di buat jalan jalan🗿,Negatif,Feedback
kena copyright kocak-kocak,Negatif,Feedback
"G dulu deh gambar nya terlalu vulgar untuk di pake ke tempat umum",Negatif,Feedback
Duh minder kalo bumper nya keliatan,Negatif,Feedback
Gambarnya terlalu,Negatif,Feedback
Astaga thumbnail nya,Negatif,Feedback
Thumbnail nya membuat gagal fokus aja eh pas di buka ternyata hoax,Negatif,Feedback
Suara nya diperbaiki,Negatif,Feedback
Ukuran s harusnya,Negatif,Feedback
Sen bikin cover lagi sen😭,Negatif,Feedback
Kurang ketat tunggu aja itu nanti jadi ketat umur 40-50 tahun lagi baru menarik perhatian,Negatif,Feedback
Kurang gemas,Negatif,Feedback
"SEN SEN FOTO LAIN KAN BISA SEN.KOK FOTO INI GAK ENAK BANGET",Negatif,Feedback
linknya nggak bisa di click cuk,Negatif,Feedback
gw nggak bisa baca tulisanya,Negatif,Feedback
Sen kamu pasti bisa menjadi pelaku ntr 😭,Negatif,Feedback
WOY SEN PLEASE JANGAN GITU,Negatif,Feedback
NOO SENA JANGAN BIKIN JANTUNGAN NJSJSISHSIWJWGAISHIWWH,Negatif,Feedback
Sena jangan bikin aku overthinking sen....,Negatif,Feedback
Apalah sen ini jangan bikin overthinking 🥲,Negatif,Feedback
SEN KENAPA FOTO INI DAH😭,Negatif,Feedback
Ini mah merusak lagu.. Lagu yang asli yang ada ame nya,Negatif,Feedback
kalau Gak terong gak asik,Negatif,Feedback
"Nggak ah masih lebih gemes kuku anime",Negatif,Feedback
"gyutto tanpa ame ame bagai sayur tanpa MsG",Negatif,Feedback
kayaknya nama chord sama gambar chord nya ga sesuai deh,Negatif,Feedback
Kurang uratnya aja bang,Negatif,Feedback
Sial volume gw full+ ada bapak gw 🗿🗿,Negatif,Feedback
"Lebih suka suara zeta sih halo sayang",Negatif,Feedback
kurang puas kalau cium mau nya ewe 😋,Negatif,Feedback
"one word. its cringe 2d graphics kartun too much halu bullshit and bau bawang ga terima? yah wajar jujur itu lebih menyakitkan",Negatif,Feedback
"terong stop nanti Zeta bakal lihat kita, ahh tidak....",Negatif,Feedback
Yah telat upload bang,Negatif,Feedback
Live kok nya cuma bentar,Negatif,Feedback
KAKAK KOK JARANG BIKIN KONTEN KANGEN YA KEBANGETAN KANGEN KAK sering sering bikin konten sama lagu kak lagu kakak favorit aku banget,Negatif,Feedback
Kak Chloe kalau mau nge ghosting jangan lama-lama 🥲,Negatif,Feedback
Kak echi minta lirik dong aku kesusahan buat membacanya😅,Negatif,Feedback
Kangen kamu chloe😢,Negatif,Feedback
Yah kak Chloe jadi ninja,Negatif,Feedback
Kangen sama live kakak,Negatif,Feedback
THUMBNAIL NYA GANTI BRO WOI NANTI DI TANGKAP FBI,Negatif,Feedback
Maaf kak ini cuma sekedar saran menurutku suara noisenya terlalu banyak kayak ahh suara nafasnya kak chloe. Tapi overall oke kok kak cuma lebih baik dikurangi soalnya terkesan tabu,Negatif,Feedback
woe telinganya hilang woe yang bener nih,Negatif,Feedback
Gw langsung kejang-kejang karena pake headphone volume full,Negatif,Feedback
sayang banget di balikpapan ternyata😭😭😭,Negatif,Feedback
Aduh bang jauh sekali😢,Negatif,Feedback
Setelah ghosting beberapa bulan hampir aja lupa sama kita,Negatif,Feedback
Thumbnail meresahkan,Negatif,Feedback
an audio cancelling technology : Am I a joke to you?,Negatif,Feedback
Kangen sama nyanyian kakak,Negatif,Feedback
linknya mati,Negatif,Feedback
noooo jangan bikin cover ini,Negatif,Feedback
stop bikin konten porno,Negatif,Feedback
Waduh jangan kayang Sena nanti encok siapa yang mau mengobati,Negatif,Feedback
stop it's cringe,Negatif,Feedback
CAPEK GW TIAP HARI DENGER LAGU INI,Negatif,Feedback
suaranya kurang keras,Negatif,Feedback
lagu bangsat 😡<br>lagu meresahkan warga ini,Negatif,Feedback
kangen liat main berdua lagi,Negatif,Feedback
kangen banget sama live nya chloe,Negatif,Feedback
sangat tidak cocok untuk ditonton,Negatif,Feedback
jorok gitu gambarnya,Negatif,Feedback
Duh bikin malu bumper nya,Negatif,Feedback
No.... tidak ramah buat dilihat,Negatif,Feedback
Kurang musik aja ini,Negatif,Feedback
kecewa tidak ada minecraft,Negatif,Feedback
kurang lama tekannya 😭,Negatif,Feedback
ngulangin lagi kesalahannya 💀💀,Negatif,Feedback
haduh bang jangan dibuat main gitu,Negatif,Feedback
Bilangnya berbagi pengalaman biar nggak ada yang mengulangi tapi nggak dijelasin penyebabnya apa🥲,Negatif,Feedback
Yah gk bisa lihat meteor dong,Negatif,Feedback
begini lah vtuber sakit dikit posting eek dikit posting,Negatif,Feedback
bales dong kak :(,Negatif,Feedback
Yaelah pasti kebanyakan gerak waktu di infus! Diem dikit napa diem😡,Negatif,Feedback
Nah itu akibat jarang salto itu sen,Negatif,Feedback
Aku dah bosen kena Rick roll,Negatif,Feedback
haduh kan... udah ini kompres pake air anget sen biar kempes,Negatif,Feedback
thumbnail nya bikin penasaran ehh waktu videonya ku click gua malah ke rickroll dahlah,Negatif,Feedback
Perasaan Baru juga mendingan kemarin sen sen jadi kucing kok rese amat sih bukannya rehat dulu 😡,Negatif,Feedback
kemarin baru sembuh kok sudah sakit lagi sih? 😡😡,Negatif,Feedback
sakit lagi sakit lagi jangan lupa untuk olah raga ya,Negatif,Feedback
tolong sen jaga kesehatan pls 😭,Negatif,Feedback
kapan nyanyi lagi😭😭,Negatif,Pertanyaan
Woy kuning kapan balek stream lagi ghosting mulu,Negatif,Pertanyaan
Jadi kamu kira kita tidak peduli?(merasa angry)🙂,Negatif,Pertanyaan
Kenapa lagu sebagus ini view nya sepi yah ? Padahal nyentuh banget,Negatif,Pertanyaan
Meanwhile Kobo: ARE U SURE ABOUT THAT HAH?,Negatif,Pertanyaan
Napa thumbnail nya gitu heh,Negatif,Pertanyaan
kenapa chi.. aku udah beli merch kamu loh padahal,Negatif,Pertanyaan
Kapan live beb kangen nih :(,Negatif,Pertanyaan
Kak Sena aim kakak kemana kok di valo nembak nya cicak bukan orangnya,Negatif,Pertanyaan
"Gambarnya bagus banget chi tapi...<br><br><br><br><br>KENAPA TETAP HARUS ADA MARKETING NYA?",Negatif,Pertanyaan
kok ilang telinganya?,Negatif,Pertanyaan
"Lah kok bagus suaranya? Bukannya bilang ga bisa nyanyi? Oh pantas ini suaranya elaine bukan echi<a href=""about:invalid#zCSafez""></a>",Negatif,Pertanyaan
Bagus tapi...<br><br>Ame nya mana ?!!!😡,Negatif,Pertanyaan
nigga what the fuck is this shit,Negatif,Pertanyaan
Bro why? 💀,Negatif,Pertanyaan
Kok ga ada ame nya,Negatif,Pertanyaan
SOPAN KAH BEGITU???,Negatif,Pertanyaan
Waduh!! apakah tidak berbahaya,Negatif,Pertanyaan
Kok warna kayak gitu 😶,Negatif,Pertanyaan
Oi lagi ngapain sih?,Negatif,Pertanyaan
Wah aku telat.... Kapan buka audisi lagi kak?,Negatif,Pertanyaan
masih Bocah SD ya?,Negatif,Pertanyaan
chloe kamu kemana huhu,Negatif,Pertanyaan
Graduate? 😢,Negatif,Pertanyaan
apakah graduate?,Negatif,Pertanyaan
Kenapa baru sekarang ketemu lagu ini🥲,Negatif,Pertanyaan
Kenapa di Spotify masih belum ada liriknya :(((,Negatif,Pertanyaan
"Aroma-aroma graduate kah?",Negatif,Pertanyaan
Apa ini? Sena jadi mbak-mbak?<br>Waduh siapa ini yang Nerf Sena?,Negatif,Pertanyaan
loh mau nikah kah?,Negatif,Pertanyaan
Bisa kena copyright ga sih?,Negatif,Pertanyaan
"Ya semoga cuman pengumuman kaya karakter baru Buat sena atau Hiatus ya kan ??? 😢",Negatif,Pertanyaan
Ga mungkin dia graduate kan ga ada pesan dari agensi nya dia ya kan ???,Negatif,Pertanyaan
ga graduate kan sen😁...gak kan?😡,Negatif,Pertanyaan
